PhyloID,TreeOrd,GroupA,GroupB,MeanCentroidSize
Mustela_putorius,80,Car,Can,46.72879
Mustela_lutreola,81,Car,Can,42.2696
Mustela_sibirica,82,Car,Can,38.75483
Mustela_itatsi,83,Car,Can,35.87633
Mustela_kathiah,84,Car,Can,36.64452
Mustela_nudipes,85,Car,Can,40.18306
Mustela_frenata,86,Car,Can,35.4655
Mustela_africana,87,Car,Can,36.71983
Neovison_vison,88,Car,Can,48.05761
Vormela_peregusna,89,Car,Can,43.05853
Poecilogale_albinucha,90,Car,Can,37.06733
Ictonyx_striatus,91,Car,Can,53.58302
Ictonyx_libyca,92,Car,Can,40.45353
Galictis_vittata,93,Car,Can,52.79523
Galictis_cuja,94,Car,Can,57.32115
Pteronura_brasiliensis,95,Car,Can,77.64351
Lontra_longicaudis,96,Car,Can,70.67089
Lontra_felina,97,Car,Can,69.41603
Lontra_canadensis,98,Car,Can,55.6383
Enhydra_lutris,99,Car,Can,63.85481
Lutra_maculicollis,100,Car,Can,54.48716
Lutra_sumatrana,101,Car,Can,75.73649
Lutra_lutra,102,Car,Can,54.97886
Aonyx_capensis,103,Car,Can,68.42161
Lutrogale_perspicillata,104,Car,Can,102.47772
Aonyx_cinerea,105,Car,Can,47.8655
Melogale_personata,106,Car,Can,63.26999
Melogale_moschata,107,Car,Can,63.54657
Ailurus_fulgens,108,Car,Can,70.48984
Nandinia_binotata,109,Car,Fel,93.99549
Hyaena_hyaena,110,Car,Fel,162.75805
Hyaena_brunnea,111,Car,Fel,148.18226
Proteles_cristata,112,Car,Fel,76.61642
Crocuta_crocuta,113,Car,Fel,242.16915
Fossa_fossana,114,Car,Fel,56.28357
Eupleres_goudotii,115,Car,Fel,71.83966
Mungotictis_decemlineata,116,Car,Fel,48.59121
Salanoia_concolor,117,Car,Fel,53.18463
Galidictis_fasciata,118,Car,Fel,53.72351
Galidia_elegans,119,Car,Fel,52.08457
Cryptoprocta_ferox,120,Car,Fel,91.49615
